# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000054253    0.000053910    0.000053889
    0.067776294    0.003679195    0.003655896    0.003654503
    0.134552588    0.007316632    0.007270122    0.007267340
    0.201328881    0.010978992    0.010908757    0.010904556
    0.268105175    0.014678940    0.014584202    0.014578533
    0.334881469    0.018429495    0.018309196    0.018301996
    0.401657763    0.022244166    0.022096949    0.022088134
    0.468434057    0.026137084    0.025961270    0.025950739
    0.535210351    0.030123157    0.029916712    0.029904339
    0.601986644    0.034218232    0.033978730    0.033964367
    0.668762938    0.038439282    0.038163857    0.038147330
    0.735539232    0.042804614    0.042489903    0.042471006
    0.802315526    0.047334105    0.046976181    0.046954674
    0.869091820    0.052049476    0.051643763    0.051619366
    0.935868114    0.056974608    0.056515779    0.056488167
    1.002644407    0.062135907    0.061617766    0.061586560
    1.069420701    0.067562738    0.066978070    0.066942829
    1.136196995    0.073287936    0.072628331    0.072588539
    1.202973289    0.079348413    0.078604044    0.078559101
    1.269749583    0.085785888    0.084945246    0.084894448
    1.336525876    0.092647763    0.091697327    0.091639845
    1.403302170    0.099988193    0.098912022    0.098846881
    1.470078464    0.107869388    0.106648614    0.106574659
    1.536854758    0.116363224    0.114975414    0.114891270
    1.603631052    0.125553235    0.123971589    0.123875614
    1.670407346    0.135537117    0.133729441    0.133619663
    1.737183639    0.146429883    0.144357279    0.144231314
    1.803959933    0.158367892    0.155983060    0.155838009
    1.870736227    0.171514040    0.168759059    0.168591372
    1.937512521    0.186064534    0.182867930    0.182673224
    2.004288815    0.202257826    0.198530661    0.198303485
    2.071065109    0.220386584    0.216017169    0.215750675
    2.137841402    0.240813961    0.235660616    0.235346120
    2.204617696    0.263996105    0.257877099    0.257503460
    2.271393990    0.290513898    0.283193253    0.282746009
    2.338170284    0.321118738    0.312285847    0.311745965
    2.404946578    0.356800237    0.346040055    0.345382110
    2.471722871    0.398889325    0.385637908    0.384827373
    2.538499165    0.449220756    0.432697549    0.431686666
    2.605275459    0.510399875    0.489502439    0.488223821
    2.672051753    0.586262462    0.559399947    0.557756496
    2.738828047    0.682716236    0.647544388    0.645393353
    2.805604341    0.809399830    0.762412562    0.759541298
    2.872380634    0.983278932    0.919286536    0.915382861
    2.939156928    1.237467983    1.149648626    1.144311931
    3.005933222    1.646666838    1.532111003    1.525223977
    3.072709516    2.413560111    2.293115704    2.286174377
    3.139485810    4.131942013    3.630476893    3.600372083
    3.206262104    7.549269284    5.459751391    5.330845310
    3.273038397    9.518388060    6.580348704    6.398170437
    3.339814691   10.640495532    8.190395258    8.038387703
    3.406590985   13.394394366   11.462312606   11.343075443
    3.473367279   17.621858139   16.387721083   16.311927637
    3.540143573   20.442226266   20.931043386   20.962816145
    3.606919866   21.387587258   23.503132438   23.634039444
    3.673696160   21.354973881   25.614348533   25.876035776
    3.740472454   26.106423299   29.460310320   29.668903628
    3.807248748   29.367176030   28.887990178   28.856959585
    3.874025042   28.210948600   28.614463829   28.638566367
    3.940801336   29.496665309   32.221879050   32.388919436
    4.007577629   30.294162985   32.591784060   32.733704016
    4.074353923   26.622878269   26.676170352   26.679392793
    4.141130217   23.146424296   23.413403694   23.431012014
    4.207906511   23.348182877   22.435782661   22.382561150
    4.274682805   20.643533576   19.099587010   19.005102654
    4.341459098   19.624832876   16.053284894   15.831204169
    4.408235392   16.351856161   13.204912584   13.009092299
    4.475011686   10.059027884    9.284816016    9.237405955
    4.541787980    7.285120285    8.005137440    8.050779878
    4.608564274    6.131235353    7.435736839    7.517946948
    4.675340568    5.358886873    6.876659902    6.971739236
    4.742116861    4.653151133    6.238441282    6.336723636
    4.808893155    4.413703935    6.116232106    6.222507978
    4.875669449    4.569609732    5.597929915    5.661907476
    4.942445743    4.435089254    5.325683031    5.380823163
    5.009222037    4.653698022    5.393942659    5.440025246
    5.075998331    4.980061149    5.638068517    5.679662216
    5.142774624    4.137902555    5.991569301    6.107505704
    5.209550918    4.610444333    6.588877000    6.712712510
    5.276327212    6.098073141    7.204360508    7.273035649
    5.343103506    5.265780247    6.985016713    7.091359535
