# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000   10.214129759   10.215711941   10.215863179
    0.067776294   10.215960222   10.217530850   10.217681398
    0.134552588   10.221351324   10.222887837   10.223036345
    0.201328881   10.230321362   10.231800825   10.231945920
    0.268105175   10.242900905   10.244299752   10.244440025
    0.334881469   10.259133079   10.260426850   10.260560836
    0.401657763   10.279073981   10.280237039   10.280363201
    0.468434057   10.302793217   10.303798447   10.303915156
    0.535210351   10.330374584   10.331193062   10.331298583
    0.601986644   10.361916910   10.362517539   10.362610000
    0.668762938   10.397535049   10.397884157   10.397961531
    0.735539232   10.437361090   10.437421972   10.437482046
    0.802315526   10.481545760   10.481278163   10.481318508
    0.869091820   10.530260088   10.529619624   10.529637557
    0.935868114   10.583697351   10.582634816   10.582627360
    1.002644407   10.642075348   10.640535935   10.640499772
    1.069420701   10.705639064   10.703561452   10.703492865
    1.136196995   10.774663792   10.771979069   10.771873875
    1.202973289   10.849458787   10.846089190   10.845942665
    1.269749583   10.930371578   10.926228991   10.926035779
    1.336525876   11.017793044   11.012777217   11.012531218
    1.403302170   11.112163430   11.106159839   11.105854080
    1.470078464   11.213979509   11.206856778   11.206483254
    1.536854758   11.323803134   11.315409911   11.314959392
    1.603631052   11.442271527   11.432432665   11.431894466
    1.670407346   11.570109709   11.558621585   11.557983274
    1.737183639   11.708145640   11.694770354   11.694017400
    1.803959933   11.857328778   11.841786924   11.840902252
    1.870736227   12.018753021   12.000714603   11.999678036
    1.937512521   12.193685312   12.172758226   12.171545781
    2.004288815   12.383601657   12.359316950   12.357899933
    2.071065109   12.590232969   12.562025787   12.560369625
    2.137841402   12.815624116   12.782808794   12.780871506
    2.204617696   13.062210993   13.023948104   13.021678284
    2.271393990   13.332922639   13.288174820   13.285508930
    2.338170284   13.631318819   13.578790714   13.575649402
    2.404946578   13.961778989   13.899834274   13.896117297
    2.471722871   14.329767547   14.256312322   14.251891410
    2.538499165   14.742215681   14.654531466   14.649240111
    2.605275459   15.208087404   15.102586987   15.096205530
