# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000   10.204268561   10.203241428   10.203178976
    0.034387312   10.204738155   10.203707638   10.203644974
    0.067774624   10.206094248   10.205053953   10.204990679
    0.101161937   10.208337988   10.207281495   10.207217211
    0.134549249   10.211471272   10.210392121   10.210326422
    0.167936561   10.215496758   10.214388426   10.214320907
    0.201323873   10.220417862   10.219273754   10.219204002
    0.234711185   10.226238775   10.225052200   10.224979798
    0.268098497   10.232964468   10.231728624   10.231653148
    0.301485810   10.240600703   10.239308658   10.239229675
    0.334873122   10.249154050   10.247798724   10.247715792
    0.368260434   10.258631901   10.257206044   10.257118711
    0.401647746   10.269042488   10.267538662   10.267446464
    0.435035058   10.280394902   10.278805460   10.278707919
    0.468422371   10.292699117   10.291016178   10.290912803
    0.501809683   10.305966014   10.304181444   10.304071727
    0.535196995   10.320207408   10.318312791   10.318196207
    0.568584307   10.335436077   10.333422693   10.333298698
    0.601971619   10.351665798   10.349524593   10.349392621
    0.635358932   10.368911376   10.366632937   10.366492401
    0.668746244   10.387188690   10.384763210   10.384613497
    0.702133556   10.406514730   10.403931978   10.403772451
    0.735520868   10.426907644   10.424156931   10.423986922
    0.768908180   10.448386790   10.445456929   10.445275741
    0.802295492   10.470972783   10.467852056   10.467658956
    0.835682805   10.494687562   10.491363668   10.491157890
    0.869070117   10.519554443   10.516014463   10.515795199
    0.902457429   10.545598195   10.541828535   10.541594937
    0.935844741   10.572845109   10.568831452   10.568582625
    0.969232053   10.601323077   10.597050323   10.596785327
    1.002619366   10.631061680   10.626513889   10.626231728
    1.036006678   10.662092279   10.657252602   10.656952224
    1.069393990   10.694448116   10.689298724   10.688979016
    1.102781302   10.728164425   10.722686429   10.722346212
    1.136168614   10.763278544   10.757451916   10.757089939
    1.169555927   10.799830051   10.793633525   10.793248462
    1.202943239   10.837860896   10.831271873   10.830862312
    1.236330551   10.877415553   10.870409992   10.869974433
    1.269717863   10.918541189   10.911093483   10.910630327
    1.303105175   10.961287833   10.953370685   10.952878228
    1.336492487   11.005708581   10.997292855   10.996769277
    1.369879800   11.051859797   11.042914365   11.042357724
