# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000054114    0.000053723    0.000053699
    0.034387312    0.001861108    0.001847662    0.001846823
    0.067774624    0.003669679    0.003643142    0.003641486
    0.101161937    0.005481359    0.005441663    0.005439186
    0.134549249    0.007297691    0.007244732    0.007241427
    0.167936561    0.009120226    0.009053866    0.009049725
    0.201323873    0.010950531    0.010870596    0.010865608
    0.234711185    0.012790192    0.012696471    0.012690623
    0.268098497    0.014640815    0.014533062    0.014526338
    0.301485810    0.016504034    0.016381963    0.016374346
    0.334873122    0.018381512    0.018244798    0.018236267
    0.368260434    0.020274947    0.020123226    0.020113758
    0.401647746    0.022186077    0.022018939    0.022008509
    0.435035058    0.024116681    0.023933673    0.023922253
    0.468422371    0.026068587    0.025869210    0.025856769
    0.501809683    0.028043676    0.027827383    0.027813886
    0.535196995    0.030043888    0.029810079    0.029795489
    0.568584307    0.032071227    0.031819248    0.031803523
    0.601971619    0.034127764    0.033856905    0.033840002
    0.635358932    0.036215651    0.035925139    0.035907010
    0.668746244    0.038337118    0.038026118    0.038006710
    0.702133556    0.040494488    0.040162094    0.040141351
    0.735520868    0.042690180    0.042335414    0.042313274
    0.768908180    0.044926718    0.044548523    0.044524921
    0.802295492    0.047206742    0.046803978    0.046778842
    0.835682805    0.049533014    0.049104449    0.049077704
    0.869070117    0.051908431    0.051452738    0.051424299
    0.902457429    0.054336034    0.053851782    0.053821561
    0.935844741    0.056819022    0.056304666    0.056272566
    0.969232053    0.059360761    0.058814637    0.058780553
    1.002619366    0.061964803    0.061385113    0.061348934
    1.036006678    0.064634895    0.064019703    0.063981308
    1.069393990    0.067375004    0.066722217    0.066681475
    1.102781302    0.070189325    0.069496685    0.069453455
    1.136168614    0.073082308    0.072347375    0.072301505
    1.169555927    0.076058676    0.075278812    0.075230137
    1.202943239    0.079123451    0.078295802    0.078244144
    1.236330551    0.082281977    0.081403455    0.081348622
    1.269717863    0.085539951    0.084607210    0.084548991
    1.303105175    0.088903452    0.087912864    0.087851034
    1.336492487    0.092378977    0.091326605    0.091260918
    1.369879800    0.095973481    0.094855048    0.094785237
    1.403267112    0.099694415    0.098505271    0.098431046
    1.436654424    0.103549776    0.102284860    0.102205903
    1.470041736    0.107548159    0.106201954    0.106117923
    1.503429048    0.111698814    0.110265302    0.110175820
    1.536816361    0.116011714    0.114484320    0.114388977
    1.570203673    0.120497624    0.118869155    0.118767501
    1.603590985    0.125168182    0.123430760    0.123322305
    1.636978297    0.130035995    0.128180980    0.128065182
    1.670365609    0.135114740    0.133132637    0.133008905
    1.703752922    0.140419277    0.138299640    0.138167321
    1.737140234    0.145965788    0.143697102    0.143555478
    1.770527546    0.151771919    0.149341472    0.149189748
    1.803914858    0.157856954    0.155250686    0.155087984
    1.837302170    0.164242010    0.161444338    0.161269686
    1.870689482    0.170950257    0.167943881    0.167756198
    1.904076795    0.178007175    0.174772843    0.174570928
    1.937464107    0.185440848    0.181957094    0.181739605
    1.970851419    0.193282303    0.189525135    0.189290576
    2.004238731    0.201565910    0.197508448    0.197255140
    2.037626043    0.210329835    0.205941890    0.205667948
    2.071013356    0.219616587    0.214864161    0.214567462
    2.104400668    0.229473644    0.224318345    0.223996492
    2.137787980    0.239954208    0.234352553    0.234002832
    2.171175292    0.251118091    0.245020677    0.244640002
    2.204562604    0.263032771    0.256383288    0.255968145
    2.237949917    0.275774672    0.268508712    0.268055078
    2.271337229    0.289430694    0.281474316    0.280977576
    2.304724541    0.304100084    0.295368072    0.294822905
    2.338111853    0.319896721    0.310290456    0.309690705
    2.371499165    0.336951934    0.326356785    0.325695294
    2.404886477    0.355418015    0.343700107    0.342968516
    2.438273790    0.375472618    0.362474811    0.361663312
    2.471661102    0.397324336    0.382861194    0.381958210
    2.505048414    0.421219856    0.405071277    0.404063067
    2.538435726    0.447453224    0.429356326    0.428226480
    2.571823038    0.476378016    0.456016714    0.454745500
    2.605210351    0.508423554    0.485415029    0.483978550
    2.638597663    0.544116876    0.517993823    0.516362909
    2.671984975    0.584113006    0.554300112    0.552438854
    2.705372287    0.629237554    0.595019951    0.592883728
    2.738759599    0.680548037    0.641028458    0.638561269
    2.772146912    0.739424466    0.693464346    0.690595136
    2.805534224    0.807707240    0.753844668    0.750482207
    2.838921536    0.887914314    0.824248357    0.820274032
    2.872308848    0.983596928    0.907622879    0.902880423
    2.905696160    1.099949035    1.008322504    1.002603306
    2.939083472    1.244905185    1.133105459    1.126127604
    2.972470785    1.431225273    1.293081255    1.284460071
    3.005858097    1.680625895    1.507631684    1.496837282
    3.039245409    2.031839090    1.811716143    1.797984171
    3.072632721    2.552041496    2.261841151    2.243742435
    3.106020033    3.322709745    2.895999650    2.869388242
    3.139407346    4.330840309    3.613233338    3.568462712
    3.172794658    5.439127924    4.258337002    4.184636376
    3.206181970    6.575359887    4.833770705    4.725027896
    3.239569282    7.664271349    5.411430436    5.270731291
    3.272956594    8.726085692    6.110322765    5.946945823
    3.306343907    9.877098614    7.034257613    6.856692475
    3.339731219   11.193634245    8.237497308    8.052848606
    3.373118531   12.663074778    9.797006522    9.617978728
    3.406505843   14.176568730   11.792921511   11.644033005
    3.439893155   15.749670432   14.231684740   14.136892688
    3.473280467   17.325822439   16.650023638   16.607850489
    3.506667780   18.577160361   18.705949517   18.714020568
    3.540055092   19.478900115   20.535346438   20.601324130
