# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000   10.214111472   10.213446493   10.213439776
    0.067776294   10.215941970   10.215264047   10.215256543
    0.134552588   10.221333177   10.220617040   10.220607208
    0.201328881   10.230303393   10.229523369   10.229509648
    0.268105175   10.242883190   10.242012934   10.241993718
    0.334881469   10.259115699   10.258127907   10.258101532
    0.401657763   10.279057026   10.277923131   10.277887855
    0.468434057   10.302776784   10.301466638   10.301420624
    0.535210351   10.330358785   10.328840302   10.328781590
    0.601986644   10.361901867   10.360140638   10.360067126
    0.668762938   10.397520906   10.395479762   10.395389180
    0.735539232   10.437348008   10.434986538   10.434876414
    0.802315526   10.481533928   10.478807926   10.478675555
    0.869091820   10.530249725   10.527110560   10.526952964
    0.935868114   10.583688713   10.580082606   10.579896491
    1.002644407   10.642068735   10.637935922   10.637717623
    1.069420701   10.705634831   10.700908582   10.700654006
    1.136196995   10.774662359   10.769267836   10.768972389
    1.202973289   10.849460654   10.843313563   10.842972069
    1.269749583   10.930377344   10.923382331   10.922988931
    1.336525876   11.017803428   11.009852179   11.009400215
    1.403302170   11.112179302   11.103148256   11.102630130
    1.470078464   11.214001928   11.203749520   11.203156521
    1.536854758   11.323833395   11.312196716   11.311518818
    1.603631052   11.442311226   11.429101934   11.428327541
    1.670407346   11.570160826   11.555160131   11.554275767
    1.737183639   11.708210654   11.691163094   11.690153019
    1.803959933   11.857410820   11.838016496   11.836862227
    1.870736227   12.018856081   11.996760885   11.995440593
    1.937512521   12.193814533   12.168597732   12.167085472
    2.004288815   12.383763745   12.354922060   12.353186793
    2.071065109   12.590436789   12.557363757   12.555368070
    2.137841402   12.815881555   12.777840477   12.775538914
    2.204617696   13.062538258   13.018626270   13.015963116
    2.271393990   13.333342232   13.282441951   13.279348243
    2.338170284   13.631862642   13.572576057   13.568965503
    2.404946578   13.962493340   13.893049910   13.888813218
    2.471722871   14.330721432   14.248847889   14.243844731
    2.538499165   14.743515135   14.646247110   14.640294503
    2.605275459   15.209901154   15.093304136   15.086159238
    2.672051753   15.741855298   15.600600170   15.591934119
    2.738828047   16.355734854   16.182432512   16.171789464
    2.805604341   17.074695631   16.858817026   16.845547731
    2.872380634   17.932981858   17.659025397   17.642174620
    2.939156928   18.983770052   18.627887754   18.605987047
    3.005933222   20.311466373   19.833315686   19.803879378
    3.072709516   22.009619932   21.308977240   21.265771344
    3.139485810   23.675818125   22.482447857   22.408353367
    3.206262104   24.718520665   23.336277467   23.249931466
    3.273038397   24.701570082   24.589859924   24.582590393
    3.339814691   25.247837022   26.663921090   26.752237752
    3.406590985   25.564307872   28.727559415   28.924826700
    3.473367279   24.395568982   29.111766733   29.405144489
    3.540143573   22.624807638   26.364861506   26.595365080
    3.606919866   20.877617534   22.112288353   22.188127289
    3.673696160   19.221812988   19.892520769   19.933474239
    3.740472454   17.989833792   17.567253843   17.539539703
    3.807248748   14.733865200   14.205165017   14.172984378
    3.874025042   11.844419942   11.992103044   12.003037345
    3.940801336    6.758717376    7.799456840    7.865963183
    4.007577629    2.225387107    0.624942493    0.525555634
    4.074353923   -2.661487247   -5.919622798   -6.122018791
    4.141130217   -3.247199471   -6.419778911   -6.617595275
    4.207906511   -4.664475411   -7.251961853   -7.412617325
    4.274682805   -7.158508057   -7.364194362   -7.376192208
    4.341459098   -9.010620406   -7.418540968   -7.318429517
    4.408235392  -10.788559404   -7.836508904   -7.652089132
    4.475011686   -9.364296864   -6.988884353   -6.841278385
    4.541787980   -7.466013968   -6.252753678   -6.178408818
    4.608564274   -5.718164944   -4.880990974   -4.828945933
    4.675340568   -4.294853106   -3.009687054   -2.929735780
    4.742116861   -3.191590245   -1.952818138   -1.875958464
    4.808893155   -1.950832187   -1.046646155   -0.990321131
    4.875669449   -1.888857174   -0.638764101   -0.561011066
    4.942445743   -1.040160177   -0.360738779   -0.318733216
    5.009222037   -0.274567494   -0.115002899   -0.105733122
    5.075998331   -0.830548599   -0.259401573   -0.224680196
    5.142774624   -1.101503586   -0.916471170   -0.904777389
    5.209550918   -0.617697562   -1.263652201   -1.303988556
