# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000054254    0.000053870    0.000053846
    0.067776294    0.003679267    0.003653170    0.003651581
    0.134552588    0.007316777    0.007264692    0.007261521
    0.201328881    0.010979213    0.010900591    0.010895804
    0.268105175    0.014679241    0.014573248    0.014566793
    0.334881469    0.018429883    0.018295387    0.018287194
    0.401657763    0.022244650    0.022080196    0.022070176
    0.468434057    0.026137675    0.025941465    0.025929508
    0.535210351    0.030123868    0.029893725    0.029879696
    0.601986644    0.034219079    0.033952407    0.033936146
    0.668762938    0.038440285    0.038134016    0.038115335
    0.735539232    0.042805796    0.042456335    0.042435011
    0.802315526    0.047335495    0.046938640    0.046914415
    0.869091820    0.052051110    0.051601967    0.051574539
    0.935868114    0.056976527    0.056469404    0.056438422
    1.002644407    0.062138161    0.061566435    0.061531491
    1.069420701    0.067565389    0.066921351    0.066881970
    1.136196995    0.073291059    0.072565723    0.072521351
    1.202973289    0.079352099    0.078534968    0.078484957
    1.269749583    0.085790250    0.084869030    0.084812622
    1.336525876    0.092652941    0.091613189    0.091549493
    1.403302170    0.099994361    0.098819048    0.098747013
    1.470078464    0.107876765    0.106545732    0.106464114
    1.536854758    0.116372087    0.114861358    0.114768679
    1.603631052    0.125563938    0.123844861    0.123739350
    1.670407346    0.135550116    0.133588254    0.133467787
    1.737183639    0.146445773    0.144199492    0.144061498
    1.803959933    0.158387456    0.155806085    0.155647436
    1.870736227    0.171538324    0.168559751    0.168376612
    1.937512521    0.186094951    0.182642434    0.182430066
    2.004288815    0.202296317    0.198274214    0.198026712
    2.071065109    0.220435858    0.215723837    0.215433769
    2.137841402    0.240877874    0.235322935    0.234980853
    2.204617696    0.264080252    0.257485593    0.257079345
    2.271393990    0.290626602    0.282735782    0.282249533
    2.338170284    0.321272699    0.311746715    0.311159534
    2.404946578    0.357015432    0.345398817    0.344682585
    2.471722871    0.399198286    0.384867811    0.383984061
    2.538499165    0.449678652    0.431763655    0.430658663
    2.605275459    0.511104827    0.488359881    0.486956830
    2.672051753    0.587399245    0.557994107    0.556180179
    2.738828047    0.684657929    0.645819242    0.643423644
    2.805604341    0.812968054    0.760348605    0.757104021
    2.872380634    0.990494871    0.917044860    0.912518929
    2.939156928    1.254071282    1.148118019    1.141598732
    3.005933222    1.692215602    1.535278437    1.525655022
    3.072709516    2.565921840    2.329189157    2.314794773
    3.139485810    4.410887232    3.781635564    3.743152921
    3.206262104    6.773986916    4.959826336    4.847498952
    3.273038397    9.137613122    6.107138666    5.918539694
    3.339814691   10.979422459    7.867303471    7.673629915
    3.406590985   14.017506870   11.475681211   11.318150068
    3.473367279   17.381504103   16.727727220   16.688622081
    3.540143573   19.699548333   22.265448013   22.425466196
    3.606919866   21.407867383   24.246975662   24.422919225
    3.673696160   22.942659377   25.234618666   25.376937802
    3.740472454   25.475185657   27.634138253   27.766898004
    3.807248748   27.817371286   28.666820875   28.717980659
    3.874025042   29.622003442   30.165833560   30.198127671
    3.940801336   30.495339879   32.479067589   32.603270211
    4.007577629   30.254622769   33.572544687   33.779657435
    4.074353923   26.744054001   27.741283696   27.803852810
    4.141130217   23.281252036   22.871481171   22.845996877
    4.207906511   23.033484614   20.191289066   20.014333566
    4.274682805   20.429503296   17.051988093   16.841469308
    4.341459098   18.271774873   15.304139065   15.120078093
    4.408235392   14.022555003   12.831739316   12.758701127
    4.475011686    9.877598666   10.397441273   10.431282403
    4.541787980    7.835450709    8.769586674    8.828103609
    4.608564274    6.488004478    6.897668692    6.923005827
    4.675340568    5.947002371    6.272716130    6.293445091
    4.742116861    5.334787102    6.316435008    6.377665279
    4.808893155    5.408961976    6.338799414    6.396922843
    4.875669449    5.489025896    6.665993098    6.739692845
    4.942445743    4.920007111    6.778586410    6.894783210
    5.009222037    5.480268560    6.986806015    7.081303279
    5.075998331    5.796652211    7.203670176    7.290711549
    5.142774624    5.019883094    7.260502670    7.399774958
    5.209550918    4.041265047    6.281434233    6.421080807
    5.276327212    3.734159826    5.528913245    5.640799519
    5.343103506    4.110954228    5.493498838    5.579845182
    5.409879800    4.769164283    5.768443577    5.830759234
    5.476656093    4.957165755    5.860308786    5.917016070
    5.543432387    4.466217643    5.563827056    5.631654134
    5.610208681    4.196317299    4.654001867    4.682374399
    5.676984975    4.398512462    4.521819731    4.529192281
    5.743761269    4.616157592    4.348085648    4.331275670
    5.810537563    4.536811476    4.129753404    4.104432073
    5.877313856    4.486622919    4.376146020    4.369248024
    5.944090150    4.578253201    4.795957472    4.809512777
    6.010866444    5.399628941    4.901746622    4.870861614
    6.077642738    5.264206366    4.745999133    4.713386661
    6.144419032    5.502477483    4.563560434    4.504832314
    6.211195326    5.432961605    3.987340459    3.897086938
    6.277971619    4.674280197    3.600594721    3.533459001
    6.344747913    4.610339268    3.658640617    3.598927060
    6.411524207    4.556548987    3.583106180    3.522336312
    6.478300501    4.746446843    3.739637913    3.676793388
    6.545076795    4.886579900    3.741127317    3.669416496
    6.611853088    4.407657759    3.627820922    3.578768875
    6.678629382    4.178379382    3.637203628    3.603540146
    6.745405676    3.810276752    3.710848230    3.704941891
    6.812181970    3.702479615    3.879467518    3.890454069
    6.878958264    3.913685889    3.690326571    3.676159691
    6.945734558    4.436480817    3.757311738    3.714692145
    7.012510851    4.518817865    3.765982081    3.718772947
    7.079287145    4.566998226    3.774400126    3.725143073
    7.146063439    3.798941947    3.325270922    3.295915549
    7.212839733    3.613895807    3.106680022    3.074817439
    7.279616027    3.640713992    3.349428862    3.331194454
    7.346392321    3.507130205    3.448620542    3.445159931
    7.413168614    3.915774881    3.768535842    3.759536130
    7.479944908    3.978917629    3.691151147    3.673031535
    7.546721202    4.156005860    3.397832183    3.350177564
    7.613497496    4.110799241    3.192159769    3.134911050
    7.680273790    3.590941645    3.155869935    3.128760857
    7.747050083    3.765997374    3.563954985    3.551336863
    7.813826377    3.958280259    4.130831893    4.141716664
    7.880602671    3.818791803    3.732902607    3.727811421
    7.947378965    4.082512491    3.528026337    3.493316119
    8.014155259    4.184061598    3.802072650    3.778414263
    8.080931553    4.079617147    4.052155107    4.050507479
    8.147707846    4.289612686    4.253933939    4.251607730
    8.214484140    4.097615734    4.101615012    4.101850703
    8.281260434    3.998415560    3.789500854    3.776476295
    8.348036728    4.192748614    3.842880191    3.821151612
    8.414813022    4.376409666    4.235649747    4.226835801
    8.481589316    3.845672046    4.108777113    4.124996580
    8.548365609    3.976518478    4.326782509    4.348741180
    8.615141903    4.346172370    4.538413283    4.550300146
    8.681918197    4.468854683    4.689997364    4.703640307
    8.748694491    4.564051545    4.819933084    4.835740297
    8.815470785    4.724130153    5.164851270    5.192501575
    8.882247078    4.966388409    5.509681965    5.543633073
    8.949023372    5.291024357    5.534880316    5.549975870
    9.015799666    5.309825161    5.186015054    5.178354632
    9.082575960    4.874098533    4.943901663    4.948311367
    9.149352254    4.463722566    4.782494093    4.802326779
    9.216128548    4.376664841    4.718473406    4.739823561
    9.282904841    4.481505591    4.558645589    4.563502804
    9.349681135    4.829695812    4.730547046    4.724280172
    9.416457429    5.263026006    4.872819259    4.848240938
    9.483233723    5.785883359    5.094085961    5.050902404
    9.550010017    4.797373122    4.769216648    4.767679055
    9.616786311    4.353206272    4.475481603    4.483255311
    9.683562604    4.224037861    4.366208229    4.375010480
    9.750338898    4.053953615    4.169458521    4.176686215
    9.817115192    3.963012413    3.998826764    4.000956311
    9.883891486    3.823509775    3.942900232    3.950217016
    9.950667780    4.093298254    4.083874325    4.083061124
   10.017444073    4.548607208    4.090603699    4.062059568
   10.084220367    5.127789930    4.071654627    4.005809001
   10.150996661    5.131831421    4.127272956    4.064680055
   10.217772955    4.846237086    4.185581319    4.144296362
   10.284549249    4.462335214    4.402736391    4.398851010
   10.351325543    4.427930927    4.448275746    4.449408013
   10.418101836    4.243375614    4.169180405    4.164362830
   10.484878130    3.772822675    3.979912221    3.992833256
   10.551654424    3.716371364    3.994296340    4.011829185
   10.618430718    4.052745643    4.227312828    4.238721255
   10.685207012    4.080579917    4.115864541    4.118358312
   10.751983306    4.151902368    4.080890332    4.076648442
   10.818759599    4.096443143    4.269552046    4.280301527
   10.885535893    4.033467686    4.474211432    4.501426732
   10.952312187    4.146649190    4.403226293    4.419136926
   11.019088481    4.168351500    4.137223426    4.135402107
   11.085864775    4.007824648    3.861087748    3.851876447
   11.152641068    3.901533035    3.854904155    3.851729551
   11.219417362    4.088509751    4.020853409    4.016421699
   11.286193656    3.916021079    3.756074516    3.746031824
   11.352969950    3.676456814    3.624815151    3.621553094
   11.419746244    3.613172850    3.638256318    3.639702147
   11.486522538    3.410874199    3.545003412    3.553276761
   11.553298831    3.286025724    3.482863457    3.495314110
   11.620075125    3.397497519    3.633208464    3.647865017
   11.686851419    3.573255009    3.604750081    3.606803923
   11.753627713    3.609761623    3.562600190    3.559544299
   11.820404007    3.293192371    3.655819353    3.678583530
   11.887180301    2.973303802    3.740666504    3.788598695
   11.953956594    3.034242063    3.876162704    3.928762455
   12.020732888    3.181898037    3.819381268    3.859153375
   12.087509182    3.249411679    3.677126485    3.704019744
   12.154285476    3.477908210    3.567768952    3.573483601
   12.221061770    3.289483954    3.291237630    3.291396774
   12.287838063    2.951750662    2.947852165    2.947633940
   12.354614357    2.825042256    2.818717158    2.818551608
   12.421390651    2.746882882    2.799889668    2.803404302
   12.488166945    2.657844775    2.743346608    2.748709889
   12.554943239    2.703700771    2.737272232    2.739413243
   12.621719533    2.922319151    2.848973853    2.844362726
   12.688495826    3.062315006    3.008410536    3.004923968
   12.755272120    2.782342225    3.007560529    3.021640888
   12.822048414    2.906189794    2.927634937    2.928959223
   12.888824708    3.315518351    3.149092148    3.138755316
   12.955601002    3.552058025    3.539809815    3.539102905
   13.022377295    3.455255067    3.530249916    3.534913677
   13.089153589    3.452032684    3.628136754    3.639019856
   13.155929883    3.637456206    3.709641174    3.713994331
   13.222706177    3.870216270    3.812091878    3.808407754
   13.289482471    4.084723967    4.020661688    4.016754440
   13.356258765    4.450687842    4.215890625    4.201353784
   13.423035058    4.616778941    4.421251140    4.409149266
   13.489811352    4.801344136    4.589229008    4.575932228
   13.556587646    5.112010876    5.056533687    5.052973833
   13.623363940    5.504210144    5.544562393    5.547103499
   13.690140234    5.738275437    5.479658439    5.463550231
   13.756916528    5.368844666    5.167810622    5.155184570
   13.823692821    5.458828306    5.201571422    5.185517540
   13.890469115    5.648158672    5.368514541    5.351011556
   13.957245409    5.932883712    5.618041599    5.598498582
   14.024021703    6.020654094    5.713650195    5.694613018
   14.090797997    6.224896694    5.689609197    5.656099137
   14.157574290    6.254703586    5.733268311    5.700647696
   14.224350584    5.786443562    5.884113155    5.890296006
   14.291126878    5.661439310    5.600429968    5.596430786
   14.357903172    5.580941242    5.253617915    5.233122193
   14.424679466    5.630159299    4.935257376    4.892074953
   14.491455760    5.715504613    4.921793627    4.872259098
   14.558232053    5.490452791    4.993710643    4.962523422
   14.625008347    5.331967597    4.878196752    4.849531566
   14.691784641    5.134418062    4.748720678    4.724624696
   14.758560935    5.025132182    4.733437662    4.715324410
   14.825337229    5.028563918    4.744814711    4.727051929
   14.892113523    4.810335494    4.720982577    4.715353892
   14.958889816    4.755223230    4.860842435    4.867221732
   15.025666110    4.680522866    5.000559770    5.020331275
   15.092442404    4.480134899    4.962180257    4.992171409
   15.159218698    4.263741673    4.638843781    4.662272254
   15.225994992    4.302770450    4.437048626    4.445508906
   15.292771285    4.293467438    4.453719583    4.463782632
   15.359547579    4.000561422    4.472414701    4.501805623
   15.426323873    3.885148064    4.604706288    4.649667927
   15.493100167    3.907527003    4.653752894    4.700418923
   15.559876461    3.849725751    4.358074340    4.389749987
   15.626652755    3.825093508    4.114020819    4.132099566
   15.693429048    3.740311497    3.931101969    3.943156401
