# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
   12.087509182    1.112785432    1.094081540    1.092932101
   12.154285476    1.327183120    1.260825596    1.256701312
   12.221061770    1.525307514    1.370028509    1.360337587
   12.287838063    1.591141269    1.310174585    1.292675336
   12.354614357    1.669290081    1.359772426    1.340451084
   12.421390651    1.826589628    1.633739935    1.621661107
   12.488166945    1.991876436    1.872711903    1.865208996
   12.554943239    2.164340080    2.000772158    1.990486095
   12.621719533    2.333102159    2.077833748    2.061847269
   12.688495826    2.432661170    2.129558571    2.110599783
   12.755272120    2.429735047    2.319027532    2.312133582
   12.822048414    2.474207612    2.408521881    2.404398842
   12.888824708    2.676260587    2.453716567    2.439811326
   12.955601002    2.826899767    2.563361123    2.546886882
   13.022377295    2.897309674    2.658824749    2.643879466
   13.089153589    2.909008353    2.716889845    2.704917782
   13.155929883    2.876856672    2.699385468    2.688278359
   13.222706177    3.026157896    2.777176281    2.761603226
   13.289482471    3.099815797    2.919933151    2.908662188
   13.356258765    2.983472523    2.906039764    2.901156428
   13.423035058    3.059255489    3.006231817    3.002927357
   13.489811352    3.143232082    2.983681019    2.973750637
   13.556587646    3.124887012    2.957738395    2.947317634
   13.623363940    2.965869880    2.685186555    2.667641768
   13.690140234    2.683936496    2.449373804    2.434731744
   13.756916528    2.333334320    2.289754669    2.287009574
   13.823692821    2.037062125    1.946466142    1.940792727
   13.890469115    1.846060168    1.575758277    1.558838809
   13.957245409    1.774885925    1.413194586    1.390602711
   14.024021703    1.611554910    1.328581604    1.310892393
   14.090797997    1.057171356    1.051448062    1.051098371
   14.157574290    0.811319871    0.839268452    0.841037104
   14.224350584    0.771794615    0.805224884    0.807292605
   14.291126878    0.635924577    0.690491895    0.693803850
   14.357903172    0.453917797    0.527095266    0.531643199
   14.424679466    0.171789261    0.353881683    0.365207073
   14.491455760    0.000019951    0.209212789    0.222233564
   14.558232053   -0.147050570    0.230920635    0.254580642
   14.625008347   -0.325315593    0.308510994    0.348101096
   14.691784641   -0.324126296    0.392741560    0.437570247
   14.758560935   -0.231010838    0.390768053    0.429609552
   14.825337229   -0.347174525    0.210762963    0.245582473
   14.892113523   -0.457810361    0.154250363    0.192510118
   14.958889816   -0.350499469    0.023360396    0.046695153
   15.025666110   -0.396914302   -0.151819260   -0.136462125
   15.092442404   -0.847426648   -0.415149099   -0.388115834
   15.159218698   -1.022550641   -0.441564626   -0.405231294
   15.225994992   -0.876021393   -0.383794237   -0.353006304
   15.292771285   -0.872475899   -0.486647367   -0.462488465
   15.359547579   -0.938490275   -0.560470367   -0.536774714
   15.426323873   -1.018920394   -0.614109707   -0.588790790
   15.493100167   -0.864209469   -0.692381820   -0.681644406
   15.559876461   -0.745767602   -0.830496414   -0.835752835
   15.626652755   -0.763983312   -0.835917741   -0.840420568
   15.693429048   -0.941550677   -0.900778583   -0.898241602
   15.760205342   -0.889211323   -0.961849452   -0.966355177
   15.826981636   -0.757234429   -0.928684296   -0.939374767
   15.893757930   -0.792254027   -1.005012580   -1.018288590
   15.960534224   -0.688792429   -0.891077568   -0.903710989
   16.027310518   -0.586345237   -0.676012379   -0.681592939
   16.094086811   -0.538986274   -0.625940228   -0.631372877
   16.160863105   -0.406489594   -0.590964956   -0.602505753
   16.227639399   -0.334957789   -0.515932997   -0.527278785
   16.294415693   -0.327939974   -0.558667037   -0.573083879
   16.361191987   -0.267450751   -0.509016795   -0.524096947
   16.427968280   -0.257137894   -0.506913855   -0.522540304
   16.494744574   -0.203455086   -0.424418383   -0.438243738
   16.561520868   -0.026733926   -0.398596449   -0.421835646
   16.628297162    0.048541880   -0.298815478   -0.320539557
   16.695073456    0.070721206   -0.254387053   -0.274701059
   16.761849750    0.108852076   -0.248292230   -0.270588881
   16.828626043   -0.035554473   -0.218214759   -0.229641802
   16.895402337   -0.159263802   -0.248182984   -0.253751365
   16.962178631   -0.331683638   -0.365112695   -0.367214670
   17.028954925   -0.322484349   -0.283977977   -0.281592595
   17.095731219   -0.344049790   -0.331556731   -0.330773418
   17.162507513   -0.443944303   -0.370069491   -0.365466055
   17.229283806   -0.503365541   -0.338183638   -0.327880760
   17.296060100   -0.525457575   -0.505603513   -0.504366638
   17.362836394   -0.597971756   -0.589869219   -0.589353174
   17.429612688   -0.877455124   -0.639887184   -0.625024630
   17.496388982   -0.998619836   -0.738343177   -0.722055626
   17.563165275   -0.895736345   -0.811962425   -0.806744746
   17.629941569   -0.879889188   -0.796989843   -0.791755718
   17.696717863   -0.924675369   -0.811194136   -0.804069038
   17.763494157   -0.902737425   -0.973298130   -0.977688763
   17.830270451   -0.889065178   -0.960086448   -0.964550060
   17.897046745   -0.774796367   -0.814651578   -0.817153017
   17.963823038   -0.718109593   -0.822085795   -0.828588878
   18.030599332   -0.766815145   -0.837633310   -0.842075689
   18.097375626   -0.885142093   -0.838784097   -0.835899554
   18.164151920   -0.920905542   -0.918439006   -0.918319812
   18.230928214   -0.818703138   -0.900217531   -0.905330000
   18.297704508   -0.871972426   -0.987362791   -0.994573043
   18.364480801   -0.868740050   -0.918675805   -0.921802694
   18.431257095   -0.815974792   -0.845602927   -0.847452731
   18.498033389   -0.764047156   -0.794757818   -0.796656189
   18.564809683   -0.765082441   -0.756156823   -0.755594099
   18.631585977   -0.853426178   -0.767966396   -0.762606155
   18.698362270   -0.795100804   -0.762216798   -0.760166622
   18.765138564   -0.693213099   -0.701822175   -0.702345864
   18.831914858   -0.837817954   -0.829154564   -0.828607335
   18.898691152   -0.859656841   -0.939616521   -0.944608145
   18.965467446   -0.867874404   -0.971941085   -0.978465602
   19.032243740   -0.883538093   -0.923201494   -0.925700186
   19.099020033   -0.967179111   -0.918093384   -0.915031484
   19.165796327   -0.940953328   -0.909402033   -0.907444263
   19.232572621   -0.947181170   -0.930926539   -0.929947427
   19.299348915   -1.083617184   -1.094937733   -1.095575704
   19.366125209   -1.285326039   -1.294073156   -1.294629211
   19.432901503   -1.336734696   -1.360031206   -1.361493896
   19.499677796   -1.367793437   -1.415751610   -1.418746668
   19.566454090   -1.435516862   -1.488900309   -1.492224572
   19.633230384   -1.406100581   -1.449490673   -1.452199480
   19.700006678   -1.424398958   -1.433891458   -1.434484683
   19.766782972   -1.473251336   -1.449158155   -1.447646098
