# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000054253    0.000053863    0.000053838
    0.067776294    0.003679237    0.003652702    0.003651060
    0.134552588    0.007316718    0.007263761    0.007260484
    0.201328881    0.010979124    0.010899192    0.010894244
    0.268105175    0.014679123    0.014571371    0.014564702
    0.334881469    0.018429736    0.018293020    0.018284557
    0.401657763    0.022244473    0.022077325    0.022066978
    0.468434057    0.026137468    0.025938071    0.025925726
    0.535210351    0.030123631    0.029889786    0.029875307
    0.601986644    0.034218812    0.033947895    0.033931119
    0.668762938    0.038439988    0.038128902    0.038109636
    0.735539232    0.042805470    0.042450581    0.042428600
    0.802315526    0.047335139    0.046932205    0.046907245
    0.869091820    0.052050725    0.051594803    0.051566556
    0.935868114    0.056976113    0.056461453    0.056429562
    1.002644407    0.062137719    0.061557634    0.061521683
    1.069420701    0.067564921    0.066911624    0.066871130
    1.136196995    0.073290568    0.072554983    0.072509380
    1.202973289    0.079351587    0.078523114    0.078471745
    1.269749583    0.085789722    0.084855944    0.084798035
    1.336525876    0.092652402    0.091598733    0.091533378
    1.403302170    0.099993819    0.098803060    0.098729188
    1.470078464    0.107876231    0.106528018    0.106444364
    1.536854758    0.116371575    0.114841689    0.114746747
    1.603631052    0.125563469    0.123822960    0.123714929
    1.670407346    0.135549717    0.133563788    0.133440504
    1.737183639    0.146445481    0.144172052    0.144030896
    1.803959933    0.158387323    0.155775165    0.155612953
    1.870736227    0.171538424    0.168524719    0.168337543
    1.937512521    0.186095388    0.182602489    0.182385518
    2.004288815    0.202297241    0.198228326    0.197975538
    2.071065109    0.220437492    0.215670658    0.215374470
    2.137841402    0.240880546    0.235260671    0.234911434
    2.204617696    0.264084470    0.257411808    0.256997096
    2.271393990    0.290633160    0.282647088    0.282150691
    2.338170284    0.321282882    0.311638286    0.311038737
    2.404946578    0.357031393    0.345263578    0.344531975
    2.471722871    0.399223770    0.384695068    0.383791752
    2.538499165    0.449720481    0.431536674    0.430406037
    2.605275459    0.511176107    0.488051465    0.486613564
    2.672051753    0.587526799    0.557558213    0.555694742
    2.738828047    0.684901060    0.645174563    0.642704435
    2.805604341    0.813471094    0.759346266    0.755981239
    2.872380634    0.991655047    0.915410613    0.910671476
    2.939156928    1.257169842    1.145407894    1.138464466
    3.005933222    1.702177133    1.531154280    1.520540866
    3.072709516    2.597100587    2.309194260    2.291361909
    3.139485810    4.365190459    3.619348548    3.573056737
    3.206262104    6.788601594    5.029303824    4.919799296
    3.273038397    8.857197727    6.146262080    5.977203882
    3.339814691   11.056698140    8.044733055    7.856910298
    3.406590985   13.985832072   11.854148605   11.721603859
    3.473367279   18.163843484   17.422266779   17.376088971
    3.540143573   19.440618053   20.335406669   20.391210414
    3.606919866   20.909486433   23.912739745   24.100015329
    3.673696160   23.513332006   26.153876206   26.318742976
    3.740472454   25.161692595   27.726085393   27.885270900
    3.807248748   27.154863369   28.545117425   28.631255038
    3.874025042   30.118305209   31.426627226   31.507677807
    3.940801336   30.200468118   31.993274989   32.104819255
    4.007577629   30.230977013   32.094314179   32.210863494
    4.074353923   27.623216199   28.563586003   28.622965315
    4.141130217   24.118837817   23.321810339   23.271938077
    4.207906511   21.866193271   19.923310439   19.802093402
    4.274682805   19.493061160   16.767762172   16.597637875
    4.341459098   17.270790954   14.365732301   14.184637905
    4.408235392   14.463312940   12.484900929   12.361822425
    4.475011686   11.038854648   10.364972099   10.323508127
    4.541787980    8.037809346    8.689736814    8.730812713
    4.608564274    6.702514118    7.851017365    7.922918922
    4.675340568    6.232723931    7.347910970    7.417520192
    4.742116861    6.057062204    7.052068272    7.114116531
    4.808893155    5.953543829    7.217859012    7.296813025
    4.875669449    5.016513853    7.171405475    7.306016311
    4.942445743    4.568487022    6.558787451    6.683148719
    5.009222037    4.561858395    5.855026742    5.935724647
    5.075998331    4.784114241    5.974003325    6.048434888
    5.142774624    4.730694228    6.248545156    6.343354350
    5.209550918    4.334050411    6.599241560    6.740684374
    5.276327212    3.925089844    6.162884285    6.302544009
    5.343103506    3.940275254    5.701397344    5.811226759
    5.409879800    4.752717790    5.406543820    5.447246163
    5.476656093    4.796841393    5.035264428    5.050012692
    5.543432387    5.064176283    5.095765352    5.097742740
    5.610208681    5.534579280    5.230450412    5.211284896
