# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000   10.198886474   10.197883912   10.197823652
    0.034387312   10.199355405   10.198349464   10.198288993
    0.067774624   10.200709583   10.199693881   10.199632802
    0.101161937   10.202950154   10.201918281   10.201856195
    0.134549249   10.206079012   10.205024517   10.204961021
    0.167936561   10.210098807   10.209015181   10.208949870
    0.201323873   10.215012949   10.213893607   10.213826070
    0.234711185   10.220825621   10.219663882   10.219593705
    0.268098497   10.227541782   10.226330856   10.226257614
    0.301485810   10.235167182   10.233900150   10.233823412
    0.334873122   10.243708378   10.242378171   10.242297497
    0.368260434   10.253172745   10.251772127   10.251687065
    0.401647746   10.263568498   10.262090043   10.262000132
    0.435035058   10.274904709   10.273340782   10.273245545
    0.468422371   10.287191329   10.285534066   10.285433013
    0.501809683   10.300439217   10.298680496   10.298573121
    0.535196995   10.314660162   10.312791582   10.312677362
    0.568584307   10.329866914   10.327879772   10.327758164
    0.601971619   10.346073219   10.343958478   10.343828918
    0.635358932   10.363293852   10.361042114   10.360904018
    0.668746244   10.381544655   10.379146132   10.378998889
    0.702133556   10.400842580   10.398287061   10.398130035
    0.735520868   10.421205737   10.418482553   10.418315078
    0.768908180   10.442653438   10.439751424   10.439572806
    0.802295492   10.465206254   10.462113713   10.461923222
    0.835682805   10.488886073   10.485590731   10.485387600
    0.869070117   10.513716159   10.510205119   10.509988547
    0.902457429   10.539721223   10.535980921   10.535750061
    0.935844741   10.566927496   10.562943643   10.562697604
    0.969232053   10.595362806   10.591120334   10.590858177
    1.002619366   10.625056664   10.620539665   10.620260398
    1.036006678   10.656040357   10.651232019   10.650934594
    1.069393990   10.688347051   10.683229580   10.682912888
    1.102781302   10.722011891   10.716566443   10.716229308
    1.136168614   10.757072131   10.751278717   10.750919894
    1.169555927   10.793567247   10.787404652   10.787022818
    1.202943239   10.831539090   10.824984764   10.824578513
    1.236330551   10.871032024   10.864061980   10.863629816
    1.269717863   10.912093096   10.904681788   10.904222118
    1.303105175   10.954772212   10.946892405   10.946403531
    1.336492487   10.999122331   10.990744957   10.990225068
    1.369879800   11.045199672   11.036293680   11.035740838
    1.403267112   11.093063953   11.083596129   11.083008263
    1.436654424   11.142778632   11.132713417   11.132088310
    1.470041736   11.194411192   11.183710468   11.183045743
    1.503429048   11.248033437   11.236656300   11.235949406
    1.536816361   11.303721824   11.291624331   11.290872528
    1.570203673   11.361557832   11.348692716   11.347893057
    1.603590985   11.421628357   11.407944717   11.407094028
    1.636978297   11.484026160   11.469469112   11.468563969
    1.670365609   11.548850350   11.533360642   11.532397351
    1.703752922   11.616206932   11.599720510   11.598695075
    1.737140234   11.686209402   11.668656926   11.667565025
    1.770527546   11.758979414   11.740285722   11.739122667
    1.803914858   11.834647528   11.814731023   11.813491724
    1.837302170   11.913354032   11.892126001   11.890804928
    1.870689482   11.995249878   11.972613719   11.971204846
    1.904076795   12.080497712   12.056348064   12.054844821
    1.937464107   12.169273055   12.143494807   12.141890014
    1.970851419   12.261765615   12.234232781   12.232518582
    2.004238731   12.358180781   12.328755221   12.326923002
    2.037626043   12.458741316   12.427271270   12.425311566
    2.071013356   12.563689284   12.530007692   12.527910085
    2.104400668   12.673288245   12.637210815   12.634963813
    2.137787980   12.787825779   12.749148759   12.746739654
    2.171175292   12.907616381   12.866113975   12.863528688
    2.204562604   13.033004811   12.988426181   12.985649067
    2.237949917   13.164369979   13.116435736   13.113449375
    2.271337229   13.302129465   13.250527575   13.247312507
    2.304724541   13.446744823   13.391125773   13.387660204
    2.338111853   13.598727818   13.538698911   13.534958354
    2.371499165   13.758647810   13.693766392   13.689723244
    2.404886477   13.927140554   13.856905921   13.852528960
    2.438273790   14.104918746   14.028762434   14.024016215
    2.471661102   14.292784754   14.210058822   14.204902944
    2.505048414   14.491646109   14.401608908   14.395997128
    2.538435726   14.702534507   14.604333282   14.598212434
    2.571823038   14.926629325   14.819278805   14.812587460
    2.605210351   15.165287003   15.047642854   15.040309670
    2.638597663   15.420078154   15.290803801   15.282745453
    2.671984975   15.692834953   15.550359761   15.541478339
    2.705372287   15.985712394   15.828178485   15.818358178
    2.738759599   16.301268500   16.126462435   16.115565278
    2.772146912   16.642570714   16.447834804   16.435695151
    2.805534224   17.013338822   16.795454600   16.781871870
    2.838921536   17.418138884   17.173171860   17.157900871
    2.872308848   17.862647248   17.585736397   17.568474256
    2.905696160   18.354004588   18.039069357   18.019437220
    2.939083472   18.901259265   18.540572640   18.518089111
    2.972470785   19.515783938   19.099290431   19.073329028
    3.005858097   20.211039197   19.725054139   19.694761988
    3.039245409   20.998932186   20.422979402   20.387079025
    3.072632721   21.872346731   21.171077766   21.127359398
    3.106020033   22.754485581   21.872806707   21.817817377
    3.139407346   23.503338825   22.412492493   22.344411628
    3.172794658   24.120517029   22.880258345   22.802787762
    3.206181970   24.533741519   23.399392787   23.328474008
    3.239569282   24.637799716   23.980178913   23.939012035
    3.272956594   24.732288591   24.702925075   24.701016584
    3.306343907   25.133700484   25.654445930   25.686897516
    3.339731219   25.664797795   26.748183056   26.815741664
    3.373118531   25.866484509   27.764292592   27.882656226
    3.406505843   25.561665590   28.402340438   28.579510759
    3.439893155   24.862463594   28.373417691   28.592398720
    3.473280467   24.055662439   27.773773322   28.005701252
    3.506667780   23.298563876   26.972282666   27.201446021
    3.540055092   22.574010475   26.121042559   26.342285808
    3.573442404   21.595952733   25.014089460   25.227252335
    3.606829716   20.859399740   23.881034494   24.069445771
    3.640217028   20.372549095   22.574170728   22.711482800
    3.673604341   19.648233376   20.630044849   20.691192585
    3.706991653   18.644806277   18.647276397   18.647262698
    3.740378965   17.562683819   17.064006776   17.032729082
    3.773766277   16.410689052   15.775178894   15.735420250
    3.807153589   15.078163329   14.579676862   14.548599629
    3.840540902   13.584945091   13.373038826   13.360035396
    3.873928214   11.804935779   11.841249435   11.843894907
    3.907315526    9.883088302    9.848517836    9.846798656
    3.940702838    7.633878209    7.248614376    7.225154380
    3.974090150    4.874301567    3.832574436    3.768260878
    4.007477462    2.097685972    0.209973112    0.092745981
    4.040864775   -0.237047022   -2.612732123   -2.760624020
    4.074252087   -1.853914208   -4.218759025   -4.366073199
    4.107639399   -3.045518541   -5.276337850   -5.415376125
    4.141026711   -3.975755157   -6.296378071   -6.441220832
    4.174414023   -4.698763136   -7.174387601   -7.329014390
    4.207801336   -5.424084961   -7.706410386   -7.848901427
    4.241188648   -6.103432800   -7.807727107   -7.914094746
    4.274575960   -6.865806296   -7.698564574   -7.750462896
    4.307963272   -7.959480715   -7.615441655   -7.593829447
    4.341350584   -8.760143086   -7.490764862   -7.411375753
    4.374737896   -9.125732841   -7.340851507   -7.229292942
    4.408125209   -9.314879991   -7.196912233   -7.064641238
    4.441512521   -9.244208531   -6.879407200   -6.731783137
    4.474899833   -8.911582742   -6.347923913   -6.187872556
    4.508287145   -8.439520026   -5.749972096   -5.582099661
    4.541674457   -7.729073319   -5.181102832   -5.022131292
    4.575061770   -6.738286676   -4.664718883   -4.535403768
    4.608449082   -5.649831672   -4.134657969   -4.040180405
    4.641836394   -4.714810480   -3.571980175   -3.500748094
    4.675223706   -4.170942078   -3.126983976   -3.061984090
    4.708611018   -4.032588354   -2.850291722   -2.776636064
    4.741998331   -3.899924288   -2.599213173   -2.518063931
    4.775385643   -3.579547516   -2.318413259   -2.239672737
    4.808772955   -3.131914585   -2.091507107   -2.026536906
    4.842160267   -2.610379177   -1.843669277   -1.795822391
    4.875547579   -2.140595307   -1.635259866   -1.603788487
    4.908934891   -1.748130148   -1.464739502   -1.447140044
    4.942322204   -1.393699848   -1.294383122   -1.288306452
    4.975709516   -1.157085025   -1.174319763   -1.175576621
    5.009096828   -1.072836647   -1.060518156   -1.059926895
    5.042484140   -1.015020243   -0.947226537   -0.943130963
    5.075871452   -0.774983725   -0.737650465   -0.735397237
    5.109258765   -0.470107455   -0.484194203   -0.485101635
    5.142646077   -0.127711597   -0.309380180   -0.320734850
    5.176033389    0.235838988   -0.207254316   -0.234968198
    5.209420701    0.473283901   -0.110677821   -0.147204668
    5.242808013    0.656689404   -0.061636530   -0.106586403
    5.276195326    0.831304920   -0.024021491   -0.077536229
    5.309582638    1.005009865    0.066601104    0.007924096
    5.342969950    1.156601670    0.123958301    0.059404701
    5.376357262    1.354130998    0.106436165    0.028451877
    5.409744574    1.507063600    0.052464066   -0.038449986
    5.443131886    1.579848448    0.043472184   -0.052557703
    5.476519199    1.701439123    0.121832400    0.023129623
    5.509906511    1.856484739    0.168363523    0.062917709
    5.543293823    1.932342918    0.229389698    0.123039601
    5.576681135    1.850079330    0.276415566    0.178128903
    5.610068447    1.528806565    0.155832655    0.070027070
    5.643455760    1.192031960   -0.002951582   -0.077679368
    5.676843072    1.064179843   -0.067240331   -0.137967033
    5.710230384    1.168392718   -0.031422898   -0.106375465
